"","city","dependent","industry","employer_name","median_wage","lat","lon"
"1","Albuquerque","Y","index21","AWAKE&AWARE LLC",50000,35.08418,-106.648639
"2","Albuquerque","Y","index51","MOBILECOMM PROFESSIONALS INC",68973,35.08418,-106.648639
"3","Albuquerque","Y","index54","PERFICIENT INC",135000,35.08418,-106.648639
"4","Albuquerque","Y","index54","KNACK SYSTEMS LLC",97500,35.08418,-106.648639
"5","Albuquerque","Y","index54","INFOSYS LIMITED",76592,35.08418,-106.648639
"6","Albuquerque","Y","index54","WIPRO LIMITED",67267,35.08418,-106.648639
"7","Albuquerque","Y","index54","DIZER CORP",67000,35.08418,-106.648639
"8","Albuquerque","Y","index54","THINCSYSTEMS INC",67000,35.08418,-106.648639
"9","Albuquerque","Y","index62","AWAKE&AWARE LLC",51000,35.08418,-106.648639
"10","Arlington","Y","index54","SPARTAN SOLUTIONS INC",120000,38.89051,-77.086294
"11","Arlington","Y","index54","CAPRICORN SYSTEMS INC",110000,38.89051,-77.086294
"12","Arlington","Y","index54","MASTECH INC, A MASTECH HOLDINGS, INC. COMPANY",108139,38.89051,-77.086294
"13","Arlington","Y","index54","AMPCUS INC",108000,38.89051,-77.086294
"14","Arlington","Y","index54","GLOBALLOGICINC",107463,38.89051,-77.086294
"15","Arlington","Y","index56","CAPSQUARE SYSTEMS INC",76800,38.89051,-77.086294
"16","Atlanta","Y","index31","BITWISE INC",65000,33.748315,-84.391109
"17","Atlanta","Y","index51","EXUSIA INC",120000,33.748315,-84.391109
"18","Atlanta","Y","index51","REVENUE ANALYTICS INC",85000,33.748315,-84.391109
"19","Atlanta","Y","index51","VALUE SOFTWARE PRODUCTS INCRPORATED",68000,33.748315,-84.391109
"20","Atlanta","Y","index54","CRYSTAL EQUATION CORPORATION",170560,33.748315,-84.391109
"21","Atlanta","Y","index54","STRATEGIC HOSPITAL RESOURCES",150000,33.748315,-84.391109
"22","Atlanta","Y","index54","WENOVA INC",140000,33.748315,-84.391109
"23","Atlanta","Y","index54","TRICORE SOLUTIONS LLC",128750,33.748315,-84.391109
"24","Atlanta","Y","index54","ATEM CORP.",123356.16,33.748315,-84.391109
