"","city","dependent","industry","employer_name","median_wage","lat","lon"
"1","Albuquerque","N","index22","SUNCORE PHOTOVOLTAICS INC",42500,35.08418,-106.648639
"2","Albuquerque","N","index23","KLINGER CONSTRUCTORS LLC",70000,35.08418,-106.648639
"3","Albuquerque","N","index31","ABBOTT LABORATORIES",112811,35.08418,-106.648639
"4","Albuquerque","N","index31","PITNEY BOWES INC",111010,35.08418,-106.648639
"5","Albuquerque","N","index31","GREAT RIVER TECHNOLOGY INC",110000,35.08418,-106.648639
"6","Albuquerque","N","index31","LITEPOINT CORPORATION A TERADYNE COMPANY",104000,35.08418,-106.648639
"7","Albuquerque","N","index31","ECLIPSE AEROSPACE INC",94000,35.08418,-106.648639
"8","Albuquerque","N","index42","THOMAS&BETTS CORPORATION",83866,35.08418,-106.648639
"9","Albuquerque","N","index51","RISKSENSE INC",160000,35.08418,-106.648639
"10","Albuquerque","N","index51","MROWL.COM INC",65000,35.08418,-106.648639
"11","Albuquerque","N","index52","FMR LLC",58406,35.08418,-106.648639
"12","Albuquerque","N","index52","FIDELITY EMPLOYERS SERVICES LLC",47195,35.08418,-106.648639
"13","Albuquerque","N","index53","AMERICAN APPRAISAL CORPORATION",36000,35.08418,-106.648639
"14","Albuquerque","N","index54","SUNEDISON INC",134203,35.08418,-106.648639
"15","Albuquerque","N","index54","ULTRAMAIN SYSTEMS INCRPORATED",93000,35.08418,-106.648639
"16","Albuquerque","N","index54","DELOITTE CONSULTING LLP",88000,35.08418,-106.648639
"17","Albuquerque","N","index54","SPERIDIAN TECHNOLOGIES LLC",87975,35.08418,-106.648639
"18","Albuquerque","N","index54","S&IA CORPORATION",85700,35.08418,-106.648639
"19","Albuquerque","N","index54","S&IA NATIONAL LABORATORIES",85700,35.08418,-106.648639
"20","Albuquerque","N","index56","PNMR SERVICES COMPANY",98782,35.08418,-106.648639
"21","Albuquerque","N","index61","UNIVERSITY OF NEW MEXICO HEALTH SCIENCES CENTER",161700,35.08418,-106.648639
"22","Albuquerque","N","index61","UNIVERSITY OF NEW MEXICO",64500,35.08418,-106.648639
"23","Albuquerque","N","index61","ALBUQUERQUE PUBLIC SCHOOL DISTRICT",43000,35.08418,-106.648639
"24","Albuquerque","N","index61","NEW MEXICO HIGHL&S UNIVERSITY",43000,35.08418,-106.648639
"25","Albuquerque","N","index61","SHIVSIDDHI INC",35000,35.08418,-106.648639
"26","Albuquerque","N","index62","SOUTHWEST MEDICAL",260078,35.08418,-106.648639
"27","Albuquerque","N","index62","PRESBYTERIAN HEALTHCARE SERVICES",225000,35.08418,-106.648639
"28","Albuquerque","N","index62","DR. DENTAL OF NEW MEXICO",150000,35.08418,-106.648639
"29","Albuquerque","N","index62","PEPPERMINT DENTAL - MONTGOMERY LLC",120000,35.08418,-106.648639
"30","Albuquerque","N","index62","TRUCARE DENTAL GROUP",120000,35.08418,-106.648639
"31","Albuquerque","N","index72","WOODS CROSS INVESTMENTS LLC",37658,35.08418,-106.648639
"32","Arlington","N","index22","AES SERVICES INC",83033.5,38.89051,-77.086294
"33","Arlington","N","index23","JACOBS ENGINEERING GROUP INC",110011,38.89051,-77.086294
"34","Arlington","N","index23","DPR CONSTRUCTION A GENERAL PARTNERSHIP",76000,38.89051,-77.086294
"35","Arlington","N","index23","HOMER CONTRACTING INC",58000,38.89051,-77.086294
"36","Arlington","N","index31","ERICSSON INC",94400,38.89051,-77.086294
"37","Arlington","N","index31","DELL MARKETING L.P.",94395,38.89051,-77.086294
"38","Arlington","N","index31","JOERNS HEALTHCARE LLC",90043,38.89051,-77.086294
"39","Arlington","N","index31","DEMILEC USA INC",85000,38.89051,-77.086294
"40","Arlington","N","index31","OUTBACK POWER TECHNOLOGIES INC",85000,38.89051,-77.086294
"41","Arlington","N","index42","DELL MARKETING L.P.",110100,38.89051,-77.086294
"42","Arlington","N","index42","TRUEWAY INC",85592,38.89051,-77.086294
"43","Arlington","N","index42","&ROID INDUSTRIES LLC",70000,38.89051,-77.086294
"44","Arlington","N","index42","AI-SHREVEPORT LLC",70000,38.89051,-77.086294
"45","Arlington","N","index42","GARNIER-THIEBAUT INC",50000,38.89051,-77.086294
"46","Arlington","N","index44","GREEN OAKS PHARMA INC",103688,38.89051,-77.086294
"47","Arlington","N","index44","R&AL RIVERSIDE CORPORATION",103688,38.89051,-77.086294
"48","Arlington","N","index44","WEBY CORP",73549,38.89051,-77.086294
"49","Arlington","N","index51","GIS FEDERAL",125000,38.89051,-77.086294
"50","Arlington","N","index51","ROSETTA STONE LTD.",103950,38.89051,-77.086294
"51","Arlington","N","index51","CHECKFREE SERVICES CORPORATION (A FISERV COMPANY)",98899.2,38.89051,-77.086294
"52","Arlington","N","index51","THE BUREAU OF NATIONAL AFFAIRS INC",96900,38.89051,-77.086294
"53","Arlington","N","index51","POLITICO LLC",94099,38.89051,-77.086294
"54","Arlington","N","index52","E*TRADE FINANCIAL CORPORATION",130450,38.89051,-77.086294
"55","Arlington","N","index52","ON DECK CAPITAL INC",130000,38.89051,-77.086294
"56","Arlington","N","index52","EJF CAPITAL LLC",125000,38.89051,-77.086294
"57","Arlington","N","index52","PROMONTORY INTERFINANCIAL NETWORK LLC",113000,38.89051,-77.086294
"58","Arlington","N","index52","GENERAL MOTORS FINANCIAL COMPANY INC",107470.5,38.89051,-77.086294
"59","Arlington","N","index53","ARLINGTON VILLAGE APARTMENTS",87318,38.89051,-77.086294
"60","Arlington","N","index53","LINCLN PROPERTY COMPANY COMMERCIAL INC.",71365,38.89051,-77.086294
"61","Arlington","N","index53","GREENWICH GROUP LLC",60000,38.89051,-77.086294
"62","Arlington","N","index53","VORNADO/CHARLES E. SMITH",55474,38.89051,-77.086294
"63","Arlington","N","index53","URBAN CAPITAL DEVELOPMENT",50000,38.89051,-77.086294
"64","Arlington","N","index54","PEOPLENET COMMUNICATIONS CORPORATION",210000,38.89051,-77.086294
"65","Arlington","N","index54","PAPPAS GROUP LLC",184000,38.89051,-77.086294
"66","Arlington","N","index54","SHL US INC",167200.08,38.89051,-77.086294
"67","Arlington","N","index54","TECHNICAL INFORMATION&PROFESSIONAL SOLUTIONS INC",145000,38.89051,-77.086294
"68","Arlington","N","index54","ARTECH INFORMATION SYSTEMS LLC",143500,38.89051,-77.086294
"69","Arlington","N","index55","GRAHAM HOLDINGS COMPANY",80000,38.89051,-77.086294
"70","Arlington","N","index61","VIRGINIA POLYTECHNIC INSTITUTE&STATE UNIVERSITY",77558.5,38.89051,-77.086294
"71","Arlington","N","index61","EASTERN VIRGINIA MEDICAL SCHOOL",75693.26,38.89051,-77.086294
"72","Arlington","N","index61","INTERNATIONAL COMMUNICATIONS ASSOCIATES INC",75000,38.89051,-77.086294
"73","Arlington","N","index61","CALIFORNIA UNIVERSITY OF MNMGT&SCIENCE",60000,38.89051,-77.086294
"74","Arlington","N","index61","NEWMAN INTERNATIONAL ACADEMY OF ARLINGTON",52478,38.89051,-77.086294
"75","Arlington","N","index62","ARLINGTON MINT DENTISTRY PLLC",155000,38.89051,-77.086294
"76","Arlington","N","index62","COMMUNITY HEALTH CENTER OF SNOHOMISH COUNTY",140000,38.89051,-77.086294
"77","Arlington","N","index62","PRIVIA HEALTH LLC",127379,38.89051,-77.086294
"78","Arlington","N","index62","NATIONAL ASSOCIATION OF CHILD CARE RESOURCE&REFERRAL AGENCIES",120000,38.89051,-77.086294
"79","Arlington","N","index62","JHS OPERATIONS LLC",110000,38.89051,-77.086294
"80","Arlington","N","index72","CRESCENT HOTELS&RESORTS LLC",47000,38.89051,-77.086294
"81","Arlington","N","index72","CHINA GARDEN OF VIRGINIA INC",45344,38.89051,-77.086294
"82","Arlington","N","index72","GREEN BRIGADE LLC",43514,38.89051,-77.086294
"83","Arlington","N","index72","MUNSTER PUB INVESTORS LLC",43514,38.89051,-77.086294
"84","Arlington","N","index72","S + H RESTAURANTS",32000,38.89051,-77.086294
"85","Arlington","N","index81","NATIONAL RURAL ELECTRIC COOPERATIVE ASSOCIATION",118000,38.89051,-77.086294
"86","Arlington","N","index81","INTERNATIONAL FOUNDATION FOR ELECTORAL SYSTEMS",115731.29,38.89051,-77.086294
"87","Arlington","N","index81","AMERICAN ASSOCIATION OF MOTOR VEHICLE ADMINISTRATION",113500,38.89051,-77.086294
"88","Arlington","N","index81","AMERICAN ASSOCIATION OF MOTOR VEHICLE ADMINISTRATORS",102500,38.89051,-77.086294
"89","Arlington","N","index81","EVOLENT HEALTH LLC",102000,38.89051,-77.086294
"90","Arlington","N","index92","MANAGEMENT SCIENCES FOR HEALTH INC",84968,38.89051,-77.086294
"91","Arlington","N","index92","NORTH CENTRAL TEXAS COUNCIL OF GOVERNMENTS",80000,38.89051,-77.086294
"92","Arlington","N","index92","ASSOCIATION OF STATE&TERRITORIAL HEALTH OFFICI",72634,38.89051,-77.086294
"93","Arlington","N","index92","CHEMONICS INTERNATIONAL INC",71100,38.89051,-77.086294
"94","Arlington","N","index92","JSI RESEARCH&TRAINING INSTITUTE INC",68640,38.89051,-77.086294
"95","Atlanta","N","index11","COCA-COLA ENTERPRISES INC",60320,33.748315,-84.391109
"96","Atlanta","N","index22","ABB ENTERPRISE SOFTWARE INC",75338,33.748315,-84.391109
"97","Atlanta","N","index22","ALSTOM SIGNALING INC",74230.97,33.748315,-84.391109
"98","Atlanta","N","index22","VENTYX INC",73445,33.748315,-84.391109
"99","Atlanta","N","index22","SOUTHERN COMPANY SERVICES INC",65957,33.748315,-84.391109
"100","Atlanta","N","index22","CLYDE BERGEMANN POWER GROUP AMERICAS INC",57262,33.748315,-84.391109
"101","Atlanta","N","index23","THYSSENKRUPP ELEVATOR CORPORATION",134734.38,33.748315,-84.391109
