"","city","dependent","industry","employer_name","median_wage","lat","lon"
"1","Albuquerque","Y","index54","SAGITEC SOLUTIONS LLC",135000,35.08418,-106.648639
"2","Albuquerque","Y","index54","PERFICIENT INC",110124,35.08418,-106.648639
"3","Albuquerque","Y","index54","MSRCOSMOS LLC",90000,35.08418,-106.648639
"4","Albuquerque","Y","index54","V-SOFT CONSULTING GROUP INC",89000,35.08418,-106.648639
"5","Albuquerque","Y","index54","INFOSYS LIMITED",76876,35.08418,-106.648639
"6","Albuquerque","Y","index56","INFOSOFT INC",70000,35.08418,-106.648639
"7","Arlington","Y","index51","ARCHENTS INC",1e+05,38.89051,-77.086294
"8","Arlington","Y","index54","CAPRICORN SYSTEMS INC",150000,38.89051,-77.086294
"9","Arlington","Y","index54","ZUVEN TECHNOLOGIES INC",130000,38.89051,-77.086294
"10","Arlington","Y","index54","ITECH US INC",121000,38.89051,-77.086294
"11","Arlington","Y","index54","SYNECTICS FOR MANAGEMENT DECISIONS INC",118000,38.89051,-77.086294
"12","Arlington","Y","index54","GLOBALLOGICINC",111654,38.89051,-77.086294
"13","Arlington","Y","index56","CAPSQUARE SYSTEMS INC",90200,38.89051,-77.086294
"14","Atlanta","Y","index51","APPDYNAMICS INC",140000,33.748315,-84.391109
"15","Atlanta","Y","index51","HORTONWORKS INC",138300,33.748315,-84.391109
"16","Atlanta","Y","index51","WALKWATER TECHNOLOGIES INC",65000,33.748315,-84.391109
"17","Atlanta","Y","index51","INFODAT INTERNATIONAL INC",62500,33.748315,-84.391109
"18","Atlanta","Y","index51","ARCHENTS INC",60278,33.748315,-84.391109
"19","Atlanta","Y","index54","MU SIGMA INC",140000,33.748315,-84.391109
"20","Atlanta","Y","index54","QUEST GLOBAL CORPORATION",132000,33.748315,-84.391109
"21","Atlanta","Y","index54","SANPRO TECHNOLOGIES INC",130000,33.748315,-84.391109
"22","Atlanta","Y","index54","SANVY SYSTEMS INC",130000,33.748315,-84.391109
"23","Atlanta","Y","index54","SATSYIL CORP",125300,33.748315,-84.391109
"24","Atlanta","Y","index56","CAPSQUARE SYSTEMS INC",80000,33.748315,-84.391109
"25","Atlanta","Y","index56","USM BUSINESS SYSTEMS INC",74650,33.748315,-84.391109
"26","Atlanta","Y","index56","SPARC TECHNOLOGIES INC",68000,33.748315,-84.391109
"27","Atlanta","Y","index56","JNIT TECHNOLOGIES",65000,33.748315,-84.391109
"28","Atlanta","Y","index61","KNOWLEDGE RESOURCES GROUP INC",47000,33.748315,-84.391109
"29","Austin","Y","index31","QUALCOMM TECHNOLOGIES INC",102150,30.267605,-97.742984
"30","Austin","Y","index31","QUALCOMM INNOVATION CENTER INC",97300,30.267605,-97.742984
"31","Austin","Y","index31","QUALCOMM DATACENTER TECHNOLOGIES INC",90147,30.267605,-97.742984
"32","Austin","Y","index51","FACEBOOK INC",94360.61,30.267605,-97.742984
"33","Austin","Y","index51","TEK TREE LLC",86029,30.267605,-97.742984
"34","Austin","Y","index51","VALUE SOFTWARE PRODUCTS INC",71000,30.267605,-97.742984
"35","Austin","Y","index52","HRTA LLC",120000,30.267605,-97.742984
"36","Austin","Y","index52","WORLDQUANT LLC",107500,30.267605,-97.742984
"37","Austin","Y","index54","TECHASPECT SOLUTIONS INC",175000,30.267605,-97.742984
"38","Austin","Y","index54","INTELLATIV INC",155000,30.267605,-97.742984
"39","Austin","Y","index54","CAPGEMINI AMERICA INC (LEGACY CAPGEMINI FINANCIAL SERVICES, INC.)",147000,30.267605,-97.742984
"40","Austin","Y","index54","ARTERIS INC",145000,30.267605,-97.742984
"41","Austin","Y","index54","ARICENT N.A. INC",143530.5,30.267605,-97.742984
"42","Austin","Y","index56","JNIT TECHNOLOGIES",78000,30.267605,-97.742984
"43","Baltimore","Y","index44","SLPHARMACY INC",102000,39.290585,-76.609264
"44","Baltimore","Y","index51","GENESIS TECHSYSTEMS INC",75000,39.290585,-76.609264
"45","Baltimore","Y","index54","CYBERBRIDGE INTERNATIONAL",120000,39.290585,-76.609264
"46","Baltimore","Y","index54","CLIENT NETWORK SERVICES INC",118500,39.290585,-76.609264
"47","Baltimore","Y","index54","APEX IT SERVICES LLC",115620,39.290585,-76.609264
"48","Baltimore","Y","index54","SYSINTELLI INC",114000,39.290585,-76.609264
"49","Baltimore","Y","index54","SYNTEL INC",112558,39.290585,-76.609264
"50","Baltimore","Y","index56","SUPRASOFT INC",64730,39.290585,-76.609264
"51","Boston","Y","index31","CONVERSE INC",1e+05,42.358635,-71.056699
"52","Boston","Y","index51","TRIZETTO CORPORATION A COGNIZANT COMPANY",83335,42.358635,-71.056699
"53","Boston","Y","index51","TAD SOLUTIONS INC",80000,42.358635,-71.056699
"54","Boston","Y","index51","WALKWATER TECHNOLOGIES INC",60000,42.358635,-71.056699
"55","Boston","Y","index54","ITC INFOTECH (USA) INC",140000,42.358635,-71.056699
"56","Boston","Y","index54","PERFICIENT INC",133000,42.358635,-71.056699
"57","Boston","Y","index54","MAANTIC INC",127421,42.358635,-71.056699
"58","Boston","Y","index54","HORIZONSOFTSOLUTIONS INC",125000,42.358635,-71.056699
"59","Boston","Y","index54","DIYASOFT INC",120245,42.358635,-71.056699
"60","Boston","Y","index56","USM BUSINESS SYSTEMS INC",77400,42.358635,-71.056699
"61","Boston","Y","index56","JNIT TECHNOLOGIES",75000,42.358635,-71.056699
"62","Boston","Y","index56","WORLD JOINT CORPORATION",41662,42.358635,-71.056699
"63","Charlotte","Y","index51","HORTONWORKS INC",140250,35.22269,-80.837764
"64","Charlotte","Y","index51","METRICSTREAM INC",1e+05,35.22269,-80.837764
"65","Charlotte","Y","index51","ARCHENTS INC",85000,35.22269,-80.837764
"66","Charlotte","Y","index51","IDEA TECH SOLUTIONS INC",72654,35.22269,-80.837764
"67","Charlotte","Y","index54","DAZ SYSTEMS INC",153615.12,35.22269,-80.837764
"68","Charlotte","Y","index54","APPTAD INC",140000,35.22269,-80.837764
"69","Charlotte","Y","index54","TAVANT TECHNOLOGIES INC",133000,35.22269,-80.837764
"70","Charlotte","Y","index54","DRIVESTREAM INC",132500,35.22269,-80.837764
"71","Charlotte","Y","index54","INTRIGO SYSTEMS INCRPORATED",130000,35.22269,-80.837764
"72","Charlotte","Y","index54","SPARTA CONSULTING INC",130000,35.22269,-80.837764
"73","Charlotte","Y","index54","TRINAMIX INC",130000,35.22269,-80.837764
"74","Charlotte","Y","index56","JNIT TECHNOLOGIES",90000,35.22269,-80.837764
"75","Charlotte","Y","index56","CAPSQUARE SYSTEMS INC",79400,35.22269,-80.837764
"76","Charlotte","Y","index56","INFOSOFT INC",67000,35.22269,-80.837764
"77","Chicago","Y","index51","FACEBOOK INC",145000,41.88415,-87.632409
"78","Chicago","Y","index51","APPDYNAMICS INC",105000,41.88415,-87.632409
"79","Chicago","Y","index51","IDEA TECH SOLUTIONS INC",88234,41.88415,-87.632409
"80","Chicago","Y","index51","VALUELABS INC",83329,41.88415,-87.632409
"81","Chicago","Y","index51","EXUSIA INC",74818,41.88415,-87.632409
"82","Chicago","Y","index52","SUNRISE FUTURES LLC",125000,41.88415,-87.632409
"83","Chicago","Y","index54","NUWARE TECHNOLOGY CORP",140000,41.88415,-87.632409
"84","Chicago","Y","index54","OPUS CONSULTING SOLUTIONS INC,",125000,41.88415,-87.632409
"85","Chicago","Y","index54","AMPCUS INC",120000,41.88415,-87.632409
"86","Chicago","Y","index54","EZ2 TECHNOLOGIES INC",120000,41.88415,-87.632409
"87","Chicago","Y","index54","HORIZON SOFT SOLUTIONS INC",120000,41.88415,-87.632409
"88","Chicago","Y","index56","INTERPRO INC",96000,41.88415,-87.632409
"89","Chicago","Y","index56","INFOSOFT INC",70000,41.88415,-87.632409
"90","Chicago","Y","index56","JNIT TECHNOLOGIES",60000,41.88415,-87.632409
"91","Colorado Springs","Y","index51","XTIVIA INC",95950,38.83345,-104.821814
"92","Colorado Springs","Y","index54","EXPICIENT INC",110000,38.83345,-104.821814
"93","Colorado Springs","Y","index54","INCDO INC",110000,38.83345,-104.821814
"94","Colorado Springs","Y","index54","MASTECH DIGITAL ALLIANCES INC, A MASTECH DIGITAL, INC. COMPANY",104125,38.83345,-104.821814
"95","Colorado Springs","Y","index54","MASTECH DIGITAL TECHNOLOGIES INC, A MASTECH DIGITAL, INC. COMPANY",104125,38.83345,-104.821814
"96","Colorado Springs","Y","index54","V-SOFT CONSULTING GROUP INC",95000,38.83345,-104.821814
"97","Columbus","Y","index51","ARCHENTS INC",74110,39.96196,-83.002984
"98","Columbus","Y","index54","AN& PAG INC",160000,39.96196,-83.002984
"99","Columbus","Y","index54","MPOWER LOGIC INC",143056,39.96196,-83.002984
"100","Columbus","Y","index54","ZGAGE INC",126000,39.96196,-83.002984
"101","Columbus","Y","index54","EXPICIENT INC",123000,39.96196,-83.002984
"102","Columbus","Y","index54","IDEA HELIX INC",120000,39.96196,-83.002984
"103","Columbus","Y","index54","PANTAR SOLUTIONS INC",120000,39.96196,-83.002984
"104","Columbus","Y","index56","JNIT TECHNOLOGIES",87000,39.96196,-83.002984
"105","Columbus","Y","index56","GRAPNEL TECH SERVICES LLC",77500,39.96196,-83.002984
"106","Columbus","Y","index56","BONA FIDE MANAGEMENT INC",46446,39.96196,-83.002984
"107","Columbus","Y","index62","MANISH THERAPY SERVICES INC",70000,39.96196,-83.002984
"108","Dallas","Y","index42","DISYS SOLUTIONS INC",1e+05,32.778155,-96.795404
"109","Dallas","Y","index51","APPDYNAMICS INC",119500,32.778155,-96.795404
"110","Dallas","Y","index51","QUANTUM SECURE INC",1e+05,32.778155,-96.795404
"111","Dallas","Y","index51","FISERV GLOBAL SERVICES INC",80400,32.778155,-96.795404
"112","Dallas","Y","index51","ARCHENTS INC",78957,32.778155,-96.795404
"113","Dallas","Y","index51","TEK TREE LLC",53150.5,32.778155,-96.795404
"114","Dallas","Y","index54","PROFESSIONAL ACCESS LTD.",161000,32.778155,-96.795404
"115","Dallas","Y","index54","PERFICIENT INC",153000,32.778155,-96.795404
"116","Dallas","Y","index54","ULAB INC",130000,32.778155,-96.795404
"117","Dallas","Y","index54","APPDYNAMICS INC",120000,32.778155,-96.795404
"118","Dallas","Y","index54","SPARTA CONSULTING INC",120000,32.778155,-96.795404
"119","Dallas","Y","index56","JNIT TECHNOLOGIES",58500,32.778155,-96.795404
"120","Dallas","Y","index62","JDC HEALTHCARE PLLC",144000,32.778155,-96.795404
"121","Dallas","Y","index62","RITE STEP REHAB SOLUTIONS LLC",82451,32.778155,-96.795404
"122","Dallas","Y","index62","RITESTEP REHAB SOLUTIONSLLC",69659,32.778155,-96.795404
"123","Denver","Y","index51","FISERV GLOBAL SERVICES INC",91200,39.74001,-104.992259
"124","Denver","Y","index54","TABNER INC",120058,39.74001,-104.992259
"125","Denver","Y","index54","IQ SYSTEMS INC",120000,39.74001,-104.992259
"126","Denver","Y","index54","ITECH US INC",110000,39.74001,-104.992259
"127","Denver","Y","index54","MASTECH DIGITAL ALLIANCES INC, A MASTECH DIGITAL, INC. COMPANY",104333,39.74001,-104.992259
"128","Denver","Y","index54","MASTECH DIGITAL TECHNOLOGIES INC, A MASTECH DIGITAL, INC. COMPANY",104333,39.74001,-104.992259
"129","Detroit","Y","index51","METRICSTREAM INC",83692.56,42.331685,-83.047924
"130","Detroit","Y","index54","GALAX-ESYSTEMS CORPORATION",115000,42.331685,-83.047924
"131","Detroit","Y","index54","IKASYSTEMS CORPORATION",108493,42.331685,-83.047924
"132","Detroit","Y","index54","GALAXE.SOLUTIONS INC",101275,42.331685,-83.047924
"133","Detroit","Y","index54","CES USA INC",1e+05,42.331685,-83.047924
"134","Detroit","Y","index54","NEW YORK GLOBAL CONSULTANTS INC",1e+05,42.331685,-83.047924
"135","Detroit","Y","index54","TECHNOLOGY CONSULTANTS INC",1e+05,42.331685,-83.047924
"136","Detroit","Y","index56","INTERPRO INC",90000,42.331685,-83.047924
"137","El Paso","Y","index54","KRIDDHA TECHNOLOGIES INC",1e+05,31.759165,-106.487494
"138","El Paso","Y","index54","ASPIRE SYSTEMS INC",69000,31.759165,-106.487494
"139","El Paso","Y","index54","ARMSTRONG TECHNOLOGIES INC",64900,31.759165,-106.487494
"140","El Paso","Y","index54","GALLEGA SOFTWARE SOLUTIONS INC",63000,31.759165,-106.487494
"141","El Paso","Y","index54","COGNIZANT TECHNOLOGY SOLUTIONS U.S. CORPORATION",60000,31.759165,-106.487494
"142","El Paso","Y","index54","HCL AMERICA INC",60000,31.759165,-106.487494
"143","El Paso","Y","index54","MPHASIS CORPORATION",60000,31.759165,-106.487494
"144","Fort Worth","Y","index54","TECH MAHINDRA (AMERICAS) INC",125000,32.748855,-97.329389
"145","Fort Worth","Y","index54","INFOLOB SOLUTIONS INC",120000,32.748855,-97.329389
"146","Fort Worth","Y","index54","ISYNC SOLUTIONS INC",120000,32.748855,-97.329389
"147","Fort Worth","Y","index54","PAMTEN INC",120000,32.748855,-97.329389
"148","Fort Worth","Y","index54","SOFTCLOUDS LLC.",112500,32.748855,-97.329389
"149","Fort Worth","Y","index56","JNIT TECHNOLOGIES",1e+05,32.748855,-97.329389
"150","Fort Worth","Y","index62","JDC HEALTHCARE PLLC",120000,32.748855,-97.329389
"151","Fresno","Y","index54","INFOSYS LIMITED",119246,36.740685,-119.785734
"152","Fresno","Y","index54","IIT JOBS INC",92331,36.740685,-119.785734
"153","Fresno","Y","index54","SAI CORNERSTONE INC",76128,36.740685,-119.785734
"154","Fresno","Y","index54","BRANTA GROUP LLC",75000,36.740685,-119.785734
"155","Fresno","Y","index54","EIFER IT LLC",73590,36.740685,-119.785734
"156","Fresno","Y","index54","GLOBALPOINT INC",73590,36.740685,-119.785734
"157","Fresno","Y","index62","COMMUNITY HOSPITALIST MEDICAL GROUP",251000,36.740685,-119.785734
"158","Houston","Y","index51","HORTONWORKS INC",123750,29.76045,-95.369784
"159","Houston","Y","index51","VALUELABS INC",91500,29.76045,-95.369784
"160","Houston","Y","index51","VALUE CONSULTING INC",71000,29.76045,-95.369784
"161","Houston","Y","index51","ADVANCESOFT INC",70000,29.76045,-95.369784
"162","Houston","Y","index51","INFODAT INTERNATIONAL INC",70000,29.76045,-95.369784
"163","Houston","Y","index52","IVY MORTGAGE INC",46488,29.76045,-95.369784
"164","Houston","Y","index54","BPA TECHNOLOGIES INC",155000,29.76045,-95.369784
"165","Houston","Y","index54","MY SUPPLY CHAIN GROUP LLC",150000,29.76045,-95.369784
"166","Houston","Y","index54","PROSOFT IT SERVICES INC",150000,29.76045,-95.369784
"167","Houston","Y","index54","INTRIGO SYSTEMS INCRPORATED",135000,29.76045,-95.369784
"168","Houston","Y","index54","RIVERS& TECHNOLOGIES INC",130000,29.76045,-95.369784
"169","Houston","Y","index54","VIRTUSA CORPORATION",130000,29.76045,-95.369784
"170","Houston","Y","index56","CAPSQUARE SYSTEMS INC",86000,29.76045,-95.369784
"171","Houston","Y","index56","SUPRASOFT INC",85862,29.76045,-95.369784
"172","Houston","Y","index56","JNIT TECHNOLOGIES",75000,29.76045,-95.369784
"173","Houston","Y","index56","PASONA N A INC",54600,29.76045,-95.369784
"174","Houston","Y","index62","JDC HEALTHCARE PLLC",120000,29.76045,-95.369784
"175","Indianapolis","Y","index51","VERVEBA TELECOM LLC",76800,39.76691,-86.149964
"176","Indianapolis","Y","index54","RIGHT CLICK SYSTEMS LLC",152000,39.76691,-86.149964
"177","Indianapolis","Y","index54","KIRANAM TECHNOLOGIES INC",144000,39.76691,-86.149964
"178","Indianapolis","Y","index54","PCC TECHNOLOGY INC",135000,39.76691,-86.149964
"179","Indianapolis","Y","index54","MANHATTAN ASSOCIATES INC",127150,39.76691,-86.149964
"180","Indianapolis","Y","index54","D2SOL INC",120000,39.76691,-86.149964
"181","Indianapolis","Y","index56","JNIT TECHNOLOGIES",87500,39.76691,-86.149964
"182","Jacksonville","Y","index51","HORTONWORKS INC",158000,30.33147,-81.656219
"183","Jacksonville","Y","index51","GOVERNMENTJOBS.COM INC",95000,30.33147,-81.656219
"184","Jacksonville","Y","index54","INSPIRAGE LLC",150000,30.33147,-81.656219
"185","Jacksonville","Y","index54","DATASYS CONSULTING&SOFTWARE INC",130000,30.33147,-81.656219
"186","Jacksonville","Y","index54","PERFICIENT INC",117300.08,30.33147,-81.656219
"187","Jacksonville","Y","index54","NOVI IT INC",110000,30.33147,-81.656219
"188","Jacksonville","Y","index54","IRIS SOFTWARE INC",107000,30.33147,-81.656219
"189","Jacksonville","Y","index56","JNIT TECHNOLOGIES",84000,30.33147,-81.656219
"190","Jacksonville","Y","index56","INFOSOFT INC",70000,30.33147,-81.656219
"191","Kansas City","Y","index51","ARCHENTS INC",1e+05,39.11338,-94.626824
"192","Kansas City","Y","index51","DST WORLDWIDE SERVICES LLC",80000,39.11338,-94.626824
"193","Kansas City","Y","index51","TELNET INC",76960,39.11338,-94.626824
"194","Kansas City","Y","index51","IDEA TECH SOLUTIONS INC",70000,39.11338,-94.626824
"195","Kansas City","Y","index54","NOSTRUM LABORATORIES INC",160000,39.11338,-94.626824
"196","Kansas City","Y","index54","OAKSTON TECHNOLOGIES LLC",110000,39.11338,-94.626824
"197","Kansas City","Y","index54","NOVO PROSO INC",104000,39.11338,-94.626824
"198","Kansas City","Y","index54","HARMONIA HOLDINGS GROUP LLC",1e+05,39.11338,-94.626824
"199","Kansas City","Y","index54","JCG TECHNOLOGIES INC",1e+05,39.11338,-94.626824
"200","Kansas City","Y","index54","PROKARMA INC",1e+05,39.11338,-94.626824
"201","Kansas City","Y","index56","INFOSOFT INC",82269,39.11338,-94.626824
"202","Las Vegas","Y","index54","COMTEC CONSULTANTS INC",120000,36.171915,-115.139974
"203","Las Vegas","Y","index54","PROLIFICS INC",116000,36.171915,-115.139974
"204","Las Vegas","Y","index54","NIIT TECHNOLOGIES INC",113318,36.171915,-115.139974
"205","Las Vegas","Y","index54","IBS SOFTWARE SERVICE AMERICAS INC",113300,36.171915,-115.139974
"206","Las Vegas","Y","index54","SALIGRAM SYSTEMS INC",110000,36.171915,-115.139974
"207","Long Beach","Y","index31","ILOGIK INC",89616,33.766725,-118.192399
"208","Long Beach","Y","index54","ERP INTEGRATED SOLUTIONS INC",104200,33.766725,-118.192399
"209","Long Beach","Y","index54","PYRAMID TECHNOLOGY SOLUTIONS INC",95555,33.766725,-118.192399
"210","Long Beach","Y","index54","IT CATS LLC",95000,33.766725,-118.192399
"211","Long Beach","Y","index54","DATUM CONSULTING GROUP LLC",94000,33.766725,-118.192399
"212","Long Beach","Y","index54","NARTAL SYSTEMS INC",93500,33.766725,-118.192399
"213","Los Angeles","Y","index51","COMSOL INC",77000,34.05349,-118.245319
"214","Los Angeles","Y","index51","VALUELABS INC",75941,34.05349,-118.245319
"215","Los Angeles","Y","index51","CHINA TELECOM (AMERICAS) CORPORATION",53700,34.05349,-118.245319
"216","Los Angeles","Y","index51","WALKWATER TECHNOLOGIES INC",50000,34.05349,-118.245319
"217","Los Angeles","Y","index51","MEDIA CREATION TECHNOLOGIES INC",40920,34.05349,-118.245319
"218","Los Angeles","Y","index54","DAZ SYSTEMS INC",168340.08,34.05349,-118.245319
"219","Los Angeles","Y","index54","TRINUS CORPORATION",144200,34.05349,-118.245319
"220","Los Angeles","Y","index54","INNOMINDS SOFTWARE INC",124675,34.05349,-118.245319
"221","Los Angeles","Y","index54","INFOLOB SOLUTIONS INC",116800,34.05349,-118.245319
"222","Los Angeles","Y","index54","APPLICATIONS SOFTWARE TECHNOLOGY LLC",111000,34.05349,-118.245319
"223","Los Angeles","Y","index54","EVEREST COMPUTERS INC",111000,34.05349,-118.245319
"224","Los Angeles","Y","index56","WORLD JOINT CORPORATION",45802,34.05349,-118.245319
"225","Los Angeles","Y","index62","BMR HEALTH SERVICES INC",67000,34.05349,-118.245319
"226","Los Angeles","Y","index62","ALPHAVISTA SERVICES INC",60000,34.05349,-118.245319
"227","Memphis","Y","index54","SYSTEM SOFT TECHNOLOGIES LLC",150000,35.149766,-90.049259
"228","Memphis","Y","index54","DOLI SYSTEMS INC",130000,35.149766,-90.049259
"229","Memphis","Y","index54","INFOLOB SOLUTIONS INC",128000,35.149766,-90.049259
"230","Memphis","Y","index54","SYNECHRON INC",127000,35.149766,-90.049259
"231","Memphis","Y","index54","MANHATTAN ASSOCIATES INC",120744,35.149766,-90.049259
"232","Memphis","Y","index56","JNIT TECHNOLOGIES",75000,35.149766,-90.049259
"233","Mesa","Y","index54","DIVENSI INC",1e+05,33.417045,-111.831459
"234","Mesa","Y","index54","A-1 TECHNOLOGY INC",85000,33.417045,-111.831459
"235","Mesa","Y","index54","CYBERTHINK INC",76400,33.417045,-111.831459
"236","Mesa","Y","index54","MOBILE PROGRAMMING LLC",75000,33.417045,-111.831459
"237","Miami","Y","index51","FACEBOOK INC",280000,25.728985,-80.237419
"238","Miami","Y","index51","FACEBOOK MIAMI INC",90000,25.728985,-80.237419
"239","Miami","Y","index54","SIRI INFOSOLUTIONS INC",120000,25.728985,-80.237419
"240","Miami","Y","index54","SYNTEL INC",118000,25.728985,-80.237419
"241","Miami","Y","index54","ADVANCED TECHNOLOGY CONSULTING SERVICE INC",108000,25.728985,-80.237419
"242","Miami","Y","index54","SUNERA TECHNOLOGIES INC",108000,25.728985,-80.237419
"243","Miami","Y","index54","BIG APPLE INFOTECH LLC",105600,25.728985,-80.237419
"244","Milwaukee","Y","index54","SPARTA CONSULTING INC",180000,43.04181,-87.906844
"245","Milwaukee","Y","index54","EPCOT TECHNOLOGIES INC",135000,43.04181,-87.906844
"246","Milwaukee","Y","index54","MPOWER LOGIC INC",118030,43.04181,-87.906844
"247","Milwaukee","Y","index54","QUADRANT 4 SYSTEM CORPORATION",118030,43.04181,-87.906844
"248","Milwaukee","Y","index54","INFOGAIN TECH INC",113004,43.04181,-87.906844
